age,income,employment_years,num_credit_lines,credit_util_ratio,num_late_payments,debt_to_income,loan_amount,loan_tenure_yrs,existing_loans,savings_balance,has_mortgage,has_car_loan,creditworthy
56,70462.21,2.0,14,0.3184,2,0.306,29937.94,4,1,2294.01,1,0,0
69,49813.06,0.0,10,0.0836,1,0.5746,18398.39,4,1,6803.81,0,1,1
46,70715.63,26.0,10,0.4156,3,0.2351,12941.44,2,4,1077.1,0,0,1
32,23265.12,23.0,12,0.2417,1,0.5031,19299.26,3,1,106.0,0,1,0
60,37608.22,18.0,13,0.1273,0,0.5562,5098.6,6,4,7534.39,1,0,1
25,27895.22,7.0,14,0.5117,1,0.2646,9883.16,2,0,14670.79,1,0,1
38,66739.3,1.0,9,0.4598,1,0.455,4925.98,9,1,18962.9,0,0,1
56,72852.59,29.0,3,0.1601,0,0.3126,21213.3,3,3,7748.28,1,1,1
36,51154.35,29.0,10,0.2341,0,0.5421,22396.45,3,3,13230.94,1,0,1
40,33176.76,31.0,2,0.3429,1,0.2424,19643.02,6,4,4143.32,0,0,1
28,54506.27,0.0,11,0.2206,0,0.5157,16866.45,2,3,16657.15,1,0,1
28,42835.5,12.0,1,0.0273,1,0.6487,1000.0,4,4,11923.2,1,1,1
41,35095.73,10.0,2,0.1384,0,0.14,27114.64,1,1,2951.46,0,0,1
70,63474.84,9.0,3,0.0786,1,0.2844,1000.0,4,4,7274.85,0,0,1
53,36050.19,25.0,7,0.2919,1,0.4107,15595.95,5,4,420.95,0,1,1
57,15841.26,19.0,2,0.363,0,0.3932,10166.84,5,0,1268.09,0,0,1
41,21397.14,16.0,13,0.2836,1,0.4682,12092.85,2,1,23447.46,0,0,1
20,14918.49,16.0,5,0.5171,2,0.233,10358.65,9,4,78.42,0,0,0
39,61187.8,3.0,2,0.2632,0,0.3773,15173.45,7,1,1817.56,0,1,1
70,58760.14,4.0,7,0.646,2,0.6433,26282.03,4,3,1195.51,0,0,0
19,57513.0,,10,0.2192,0,0.3821,15197.42,5,4,9599.01,0,0,1
41,69693.29,9.0,8,0.224,2,0.5367,15115.16,1,3,893.66,0,0,1
61,84798.97,27.0,8,0.0961,2,0.397,10725.51,5,0,162.67,1,0,1
47,40193.34,32.0,13,0.19,2,0.3641,9155.13,6,0,21330.2,1,0,1
55,65161.94,25.0,8,0.4005,2,0.5664,19657.22,5,1,16493.4,1,0,1
19,15509.61,28.0,10,0.5159,2,0.492,15901.07,6,0,3550.93,1,1,0
38,89467.74,26.0,9,0.3912,1,0.5282,19902.5,7,4,847.54,0,0,1
50,23879.22,17.0,1,0.1661,3,0.6535,24828.49,6,1,9070.65,0,0,0
29,37247.97,9.0,12,0.3612,1,0.4113,9481.95,2,3,17172.59,1,0,1
39,40057.26,4.0,1,0.1825,1,0.2028,29674.59,2,2,29400.4,0,1,0
61,16843.23,9.0,14,0.2711,1,0.1463,16359.74,9,0,1115.24,1,0,1
42,55814.39,20.0,14,0.1151,2,0.3355,14731.1,6,4,7334.54,0,0,1
66,60347.6,23.0,14,0.232,0,0.5167,18328.41,4,3,4504.69,0,1,1
44,50264.66,2.0,10,0.1936,0,0.3128,19546.55,5,2,,1,0,1
59,16493.81,30.0,2,0.0767,2,0.373,19121.77,5,1,13197.74,1,0,1
45,104584.66,1.0,11,0.6841,1,0.4672,28494.25,8,4,12193.09,0,0,0
33,68730.77,1.0,6,0.3263,2,0.291,9144.01,5,2,26739.3,1,1,1
32,120855.55,33.0,14,0.1926,0,0.1347,1000.0,2,4,715.32,0,0,1
64,34872.27,19.0,1,0.3437,1,0.4206,7814.26,2,3,2183.66,1,1,1
68,78947.06,32.0,5,0.3466,2,0.39,12839.61,5,3,14062.37,0,0,1
61,74481.85,3.0,5,0.4903,1,0.4053,4372.14,4,0,,1,0,1
72,47735.62,10.0,4,0.3255,0,0.2954,11220.18,2,3,5169.11,1,0,1
69,90276.27,4.0,11,0.2122,3,0.3533,5197.45,6,1,7564.22,0,0,1
74,,24.0,5,0.1325,2,0.3339,2825.84,8,1,4200.13,1,0,1
20,45977.71,33.0,12,0.1512,1,0.3274,20139.05,2,4,288.31,0,0,1
54,10000.0,8.0,1,0.2714,2,0.6929,23147.97,7,1,7410.42,1,0,0
68,65225.7,5.0,11,0.1442,1,0.362,11121.99,4,3,2079.21,1,0,1
24,21862.25,17.0,11,0.1313,2,0.6156,24038.33,5,2,27756.94,0,0,0
38,41231.97,13.0,6,0.059,1,0.5951,22700.37,2,1,9377.87,0,0,1
26,29344.51,,7,0.2669,2,0.2702,7163.52,9,3,14693.43,1,0,1
56,45844.21,13.0,8,0.4759,1,0.5072,15264.65,3,3,24703.03,0,1,1
35,66097.01,16.0,2,0.3228,2,0.3195,9436.52,1,4,523.36,0,0,1
21,55278.54,34.0,7,0.591,1,0.3243,17333.96,4,4,1287.86,1,0,0
42,72741.03,28.0,6,0.5861,4,0.4273,12591.03,1,1,13203.05,1,0,0
31,86640.74,16.0,9,0.1844,0,0.2148,29144.85,6,1,17288.11,1,0,1
67,45780.1,7.0,8,0.1463,2,0.1315,3376.77,4,3,39.13,0,1,1
26,43035.82,0.0,14,0.219,0,0.1876,7773.56,4,1,23236.13,0,0,1
43,78943.19,6.0,11,0.1568,1,0.5351,16500.86,9,2,4846.64,0,0,1
70,80926.18,4.0,14,0.438,2,0.4598,16284.16,9,0,4968.5,1,0,0
19,73514.77,23.0,4,0.3557,0,0.2165,7821.17,7,0,16878.72,0,1,1
37,31195.53,27.0,14,0.1663,0,0.3751,9406.5,4,3,2734.66,0,1,1
45,65566.38,16.0,13,0.1544,0,0.5786,12336.76,9,0,7006.78,0,1,1
64,57736.77,19.0,9,0.3014,0,0.3042,7286.32,5,3,3254.0,1,1,0
24,81313.22,2.0,1,0.1622,2,0.2535,10262.4,4,3,964.29,0,0,1
61,40678.2,25.0,11,0.3781,0,0.3997,14099.2,5,2,3552.55,1,0,1
25,13334.74,14.0,6,0.5003,2,0.5396,11549.15,9,4,1519.92,1,0,0
64,72255.92,7.0,8,0.5372,0,0.5498,9237.4,1,1,5888.09,0,0,0
52,10000.0,12.0,11,0.2969,1,0.6652,17693.04,7,2,6036.68,1,0,1
31,36712.16,2.0,11,0.3581,2,0.2346,6039.23,9,4,4600.17,1,0,1
34,29420.11,0.0,4,0.3445,3,0.4257,17189.99,1,3,1527.48,1,1,1
53,29251.63,8.0,2,0.3902,1,0.1929,13620.06,3,2,1011.15,1,1,1
67,36274.21,30.0,11,0.4356,1,0.2365,3355.68,7,3,884.04,1,0,1
57,85434.34,25.0,2,0.1906,0,0.5709,5910.42,4,0,951.75,0,0,0
21,75513.89,16.0,10,0.152,1,0.3855,1000.0,9,3,2795.08,0,1,0
19,48706.73,33.0,1,0.1986,0,0.4721,22187.77,8,0,14.93,1,0,0
23,83340.59,8.0,5,0.3177,3,0.658,12653.36,4,3,514.23,0,0,0
71,28442.57,12.0,13,0.4425,0,0.4015,17610.67,3,3,5085.74,1,0,0
59,25042.92,4.0,6,0.3569,0,0.4548,21358.41,5,4,1613.9,0,0,0
21,76589.92,12.0,4,0.2946,1,0.4999,7020.79,7,3,2445.45,0,1,1
71,69491.08,0.0,4,0.287,1,0.4565,10542.59,6,3,3487.26,0,0,1
46,43493.41,24.0,5,0.1984,1,0.779,10698.86,7,3,323.67,0,0,0
35,26613.48,3.0,14,0.4285,0,0.3892,22975.65,5,1,1987.91,1,0,1
43,91493.3,9.0,5,0.205,1,0.0941,19011.21,2,1,11993.47,0,0,1
61,11997.44,27.0,14,0.3232,1,0.5484,11108.36,5,2,3335.0,0,0,0
51,40039.35,5.0,14,0.2683,1,0.5012,27198.56,7,4,1647.93,1,0,1
27,60714.41,26.0,14,0.2828,1,0.5394,1000.0,1,1,1762.63,0,0,0
53,100054.12,11.0,14,0.3237,2,0.1672,20076.13,5,2,33456.45,0,1,1
31,64577.51,2.0,9,0.1352,2,0.2595,9264.54,4,2,1285.63,0,0,0
48,67007.62,32.0,8,0.5413,1,0.2015,7306.78,7,2,18866.32,0,1,0
65,40765.41,9.0,9,0.0906,1,0.1666,29093.9,6,4,671.79,1,0,1
32,69212.01,30.0,13,0.2749,4,0.5931,33100.45,7,0,16599.16,0,1,0
25,57632.73,14.0,14,0.4537,1,0.4802,31119.76,4,4,5656.61,0,1,1
31,15288.39,6.0,3,0.3025,0,0.3672,11359.39,5,2,7506.36,1,0,0
40,74823.37,13.0,14,0.3101,1,0.1876,12302.1,8,3,2258.18,0,0,0
74,79259.83,13.0,3,0.1609,3,0.3067,19717.42,3,2,18310.14,1,0,1
57,75084.13,2.0,1,0.3965,3,0.5374,22695.23,4,3,7077.28,1,0,0
38,55833.2,2.0,14,0.1024,0,0.6777,3406.63,6,4,9008.69,0,0,0
33,31095.58,21.0,10,0.0988,1,0.4826,21348.04,7,0,6509.17,0,1,1
62,10000.0,18.0,13,0.6732,2,0.4456,6391.24,9,1,1070.4,1,1,0
